Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0218,SCH272,Math,Advanced,14,9
TCH0219,SCH128,Nepali,Basic,3,24
TCH0220,SCH242,English,Basic,13,10
TCH0221,SCH065,Social Studies,Basic,26,8
TCH0222,SCH048,Math,Basic,14,12
TCH0223,SCH284,English,Advanced,21,9
TCH0224,SCH091,Social Studies,Basic,1,23
TCH0225,SCH201,Nepali,Basic,9,35
TCH0226,SCH007,Social Studies,Advanced,1,24
TCH0227,SCH058,Social Studies,Basic,7,11
TCH0228,SCH436,Nepali,Basic,4,18
TCH0229,SCH073,Math,Advanced,1,26
TCH0230,SCH153,English,Advanced,12,11
TCH0231,SCH060,Math,Basic,12,10
TCH0232,SCH340,Social Studies,Basic,14,8
TCH0233,SCH325,Science,Advanced,11,11
TCH0234,SCH188,Social Studies,Advanced,3,17
TCH0235,SCH400,Nepali,Advanced,9,24
TCH0236,SCH443,English,Advanced,20,11
TCH0237,SCH298,Nepali,Advanced,6,19
TCH0238,SCH486,Social Studies,Basic,14,28
TCH0239,SCH194,Math,Basic,19,11
TCH0240,SCH133,Math,Basic,1,26
TCH0241,SCH222,Social Studies,Basic,17,10
TCH0242,SCH086,Math,Basic,10,9
TCH0243,SCH434,Math,Advanced,4,24
TCH0244,SCH071,Science,Advanced,4,8
TCH0245,SCH144,Nepali,Advanced,8,8
TCH0246,SCH315,English,Basic,25,12
TCH0247,SCH222,Science,Advanced,10,9
TCH0248,SCH058,Nepali,Advanced,18,9
TCH0249,SCH287,Nepali,Basic,7,23
TCH0250,SCH125,Math,Basic,7,20
TCH0251,SCH204,Math,Advanced,18,9
TCH0252,SCH069,Science,Advanced,19,12
TCH0253,SCH236,Science,Basic,14,12
TCH0254,SCH243,Social Studies,Basic,6,22
TCH0255,SCH177,English,Advanced,8,10
TCH0256,SCH233,Science,Advanced,16,10
TCH0257,SCH483,Social Studies,Advanced,17,27
TCH0258,SCH454,Science,Advanced,5,25
TCH0259,SCH261,Social Studies,Basic,12,23
TCH0260,SCH161,Math,Advanced,4,29
TCH0261,SCH335,English,Basic,11,25
TCH0262,SCH288,Math,Advanced,5,23
TCH0263,SCH498,Social Studies,Advanced,9,27
TCH0264,SCH084,English,Advanced,18,10
TCH0265,SCH226,English,Advanced,4,12
TCH0266,SCH193,Nepali,Advanced,13,28
TCH0267,SCH484,Science,Basic,14,28
TCH0268,SCH163,English,Basic,8,20
TCH0269,SCH407,Social Studies,Advanced,7,9
TCH0270,SCH259,English,Basic,11,31
TCH0271,SCH370,Social Studies,Basic,20,9
TCH0272,SCH226,Social Studies,Advanced,11,8
TCH0273,SCH189,Science,Advanced,22,8
TCH0274,SCH379,Science,Advanced,10,12
TCH0275,SCH223,Science,Advanced,14,11
TCH0276,SCH112,Nepali,Basic,9,18
TCH0277,SCH468,Science,Basic,14,11
TCH0278,SCH284,Math,Advanced,8,11
TCH0279,SCH038,Social Studies,Advanced,5,30
TCH0280,SCH051,Nepali,Basic,7,27
TCH0281,SCH094,Nepali,Basic,9,27
TCH0282,SCH335,Science,Basic,8,27
TCH0283,SCH123,Math,Basic,11,20
TCH0284,SCH231,English,Advanced,11,23
TCH0285,SCH063,Social Studies,Basic,7,23
TCH0286,SCH009,Math,Basic,9,12
TCH0287,SCH069,Science,Advanced,3,8
TCH0288,SCH449,Social Studies,Basic,5,24
TCH0289,SCH471,Math,Basic,3,21
TCH0290,SCH403,Nepali,Advanced,16,10
TCH0291,SCH034,Science,Basic,20,21
TCH0292,SCH225,Science,Basic,9,27
TCH0293,SCH374,Social Studies,Basic,6,20
TCH0294,SCH316,Math,Advanced,11,11
TCH0295,SCH160,Math,Advanced,4,24
TCH0296,SCH389,Math,Basic,7,21
TCH0297,SCH317,Math,Advanced,19,10
TCH0298,SCH484,Social Studies,Basic,6,28
TCH0299,SCH060,Social Studies,Basic,12,12
TCH0300,SCH409,Math,Advanced,6,11
TCH0301,SCH215,Social Studies,Advanced,7,30
TCH0302,SCH054,Math,Advanced,12,26
TCH0303,SCH049,Social Studies,Basic,13,9
TCH0304,SCH407,Nepali,Advanced,18,8
TCH0305,SCH442,Social Studies,Basic,7,27
TCH0306,SCH200,Math,Basic,4,20
TCH0307,SCH100,Nepali,Basic,12,19
TCH0308,SCH412,Math,Basic,12,23
TCH0309,SCH497,Nepali,Advanced,1,30
TCH0310,SCH452,Social Studies,Advanced,1,29
TCH0311,SCH437,Math,Advanced,22,31
TCH0312,SCH292,Social Studies,Advanced,10,13
TCH0313,SCH040,Math,Advanced,18,8
TCH0314,SCH032,Science,Advanced,3,25
TCH0315,SCH209,Nepali,Basic,10,29
TCH0316,SCH463,Nepali,Basic,17,10
TCH0317,SCH454,Math,Basic,5,28
TCH0318,SCH416,Math,Basic,13,25
TCH0319,SCH109,Social Studies,Advanced,10,9
TCH0320,SCH100,Nepali,Basic,1,22
TCH0321,SCH245,Science,Advanced,20,10
TCH0322,SCH172,Math,Advanced,5,24
TCH0323,SCH212,Nepali,Advanced,9,10
TCH0324,SCH442,Science,Basic,6,24
TCH0325,SCH265,Math,Advanced,1,8
TCH0326,SCH189,English,Advanced,13,9
TCH0327,SCH239,Math,Basic,15,10
TCH0328,SCH308,Social Studies,Basic,20,8
TCH0329,SCH364,English,Basic,7,27
TCH0330,SCH132,English,Basic,12,9
TCH0331,SCH498,Nepali,Basic,5,22
TCH0332,SCH197,English,Advanced,9,8
TCH0333,SCH187,English,Basic,6,21
TCH0334,SCH455,English,Basic,13,21
TCH0335,SCH293,Math,Advanced,21,11
TCH0336,SCH145,Math,Advanced,19,9
TCH0337,SCH321,Science,Basic,2,18
TCH0338,SCH056,Science,Basic,12,24
TCH0339,SCH472,English,Advanced,5,27
TCH0340,SCH404,Math,Advanced,21,25
TCH0341,SCH092,English,Advanced,13,24
TCH0342,SCH158,Math,Basic,12,25
TCH0343,SCH387,Science,Basic,17,11
TCH0344,SCH362,Social Studies,Basic,8,8
TCH0345,SCH249,English,Advanced,1,10
TCH0346,SCH376,English,Advanced,20,11
TCH0347,SCH407,Social Studies,Advanced,20,13
TCH0348,SCH271,Math,Basic,10,16
TCH0349,SCH390,English,Basic,4,8
TCH0350,SCH226,Social Studies,Advanced,3,8
TCH0351,SCH308,Math,Basic,11,8
TCH0352,SCH264,Science,Advanced,4,26
TCH0353,SCH123,English,Basic,3,25
TCH0354,SCH159,English,Basic,6,29
TCH0355,SCH294,Science,Basic,4,19
TCH0356,SCH299,Science,Advanced,10,14
TCH0357,SCH301,Nepali,Advanced,21,13
TCH0358,SCH188,Math,Basic,10,25
TCH0359,SCH365,Nepali,Advanced,2,26
TCH0360,SCH008,Social Studies,Basic,3,9
TCH0361,SCH072,Science,Basic,14,8
TCH0362,SCH235,Math,Advanced,14,8
TCH0363,SCH382,Nepali,Basic,1,11
TCH0364,SCH116,Science,Advanced,11,22
TCH0365,SCH347,Social Studies,Advanced,11,14
TCH0366,SCH289,Nepali,Basic,16,8
TCH0367,SCH083,English,Advanced,14,11
TCH0368,SCH221,Science,Advanced,6,24
TCH0369,SCH267,Science,Basic,1,9
TCH0370,SCH080,Social Studies,Advanced,1,20
TCH0371,SCH171,Social Studies,Basic,9,10
TCH0372,SCH142,Social Studies,Advanced,1,9
TCH0373,SCH104,English,Basic,1,33
TCH0374,SCH355,Math,Basic,1,24
TCH0375,SCH287,Math,Advanced,1,26
TCH0376,SCH438,Science,Advanced,1,12
TCH0377,SCH004,English,Advanced,26,12
TCH0378,SCH178,Science,Advanced,12,9
TCH0379,SCH377,Science,Advanced,5,8
TCH0380,SCH018,English,Advanced,4,27
TCH0381,SCH099,Nepali,Advanced,8,9
TCH0382,SCH234,Social Studies,Basic,13,11
TCH0383,SCH359,Science,Advanced,23,8
TCH0384,SCH336,Math,Advanced,17,30
TCH0385,SCH349,Social Studies,Basic,11,23
TCH0386,SCH345,Math,Advanced,9,12
TCH0387,SCH277,English,Basic,9,8
TCH0388,SCH404,Math,Advanced,7,22
TCH0389,SCH118,Nepali,Basic,18,8
TCH0390,SCH335,Social Studies,Basic,20,24
TCH0391,SCH358,Nepali,Advanced,1,10
TCH0392,SCH396,English,Basic,14,12
TCH0393,SCH106,Math,Basic,8,25
TCH0394,SCH328,Nepali,Advanced,12,8
TCH0395,SCH198,Nepali,Basic,8,24
TCH0396,SCH237,Nepali,Basic,7,8
TCH0397,SCH076,Science,Advanced,6,27
TCH0398,SCH148,English,Basic,15,24
TCH0399,SCH255,Nepali,Basic,11,9
TCH0400,SCH377,Nepali,Advanced,13,9
TCH0401,SCH017,Science,Advanced,10,15
TCH0402,SCH403,Math,Basic,15,9
TCH0403,SCH314,Social Studies,Basic,11,8
TCH0404,SCH424,Social Studies,Basic,7,27
TCH0405,SCH405,English,Basic,18,10
TCH0406,SCH289,English,Basic,13,11
TCH0407,SCH470,Science,Basic,4,30
TCH0408,SCH084,Math,Advanced,3,11
TCH0409,SCH446,Social Studies,Advanced,5,8
TCH0410,SCH412,Nepali,Advanced,3,27
TCH0411,SCH490,Science,Basic,2,28
TCH0412,SCH072,Social Studies,Advanced,12,8
TCH0413,SCH310,Math,Basic,6,28
TCH0414,SCH345,Nepali,Advanced,19,11
TCH0415,SCH199,Math,Basic,17,10
TCH0416,SCH291,Social Studies,Basic,9,9
TCH0417,SCH144,Nepali,Advanced,20,8
TCH0418,SCH192,Nepali,Basic,8,26
TCH0419,SCH359,English,Basic,10,12
TCH0420,SCH181,Math,Advanced,14,10
TCH0421,SCH011,Nepali,Basic,9,29
TCH0422,SCH243,English,Basic,6,22
TCH0423,SCH436,English,Basic,10,27
TCH0424,SCH384,English,Advanced,15,8
TCH0425,SCH116,English,Advanced,7,25
TCH0426,SCH075,English,Basic,11,20
TCH0427,SCH465,Nepali,Advanced,11,22
TCH0428,SCH035,Math,Advanced,11,12
TCH0429,SCH390,Science,Basic,13,10
TCH0430,SCH495,Science,Basic,10,27
TCH0431,SCH272,Social Studies,Advanced,1,11
TCH0432,SCH426,Nepali,Basic,14,25
TCH0433,SCH010,English,Basic,1,22
TCH0434,SCH178,Social Studies,Advanced,4,10
TCH0435,SCH451,English,Advanced,12,12
TCH0436,SCH156,Math,Basic,20,15
TCH0437,SCH060,Nepali,Advanced,7,10
TCH0438,SCH087,Nepali,Basic,11,8
TCH0439,SCH262,Nepali,Advanced,9,27
TCH0440,SCH246,English,Basic,19,27
TCH0441,SCH192,Social Studies,Basic,2,19
TCH0442,SCH172,Nepali,Basic,3,27
TCH0443,SCH371,Social Studies,Basic,12,8
TCH0444,SCH208,Math,Advanced,6,12
TCH0445,SCH272,English,Basic,19,8
TCH0446,SCH198,Science,Advanced,9,28
TCH0447,SCH479,English,Basic,10,12
TCH0448,SCH167,Nepali,Advanced,22,12
TCH0449,SCH085,English,Basic,14,8
TCH0450,SCH229,Nepali,Advanced,16,21
TCH0451,SCH171,Math,Advanced,15,8
TCH0452,SCH125,Math,Basic,2,30
TCH0453,SCH297,Math,Basic,20,8
TCH0454,SCH134,Science,Basic,10,24
TCH0455,SCH027,Social Studies,Basic,4,8
TCH0456,SCH085,Nepali,Basic,9,10
TCH0457,SCH406,Math,Advanced,24,12
TCH0458,SCH276,Math,Advanced,13,9
TCH0459,SCH284,Science,Advanced,2,8
TCH0460,SCH384,Math,Advanced,18,11
TCH0461,SCH320,Math,Advanced,4,9
TCH0462,SCH198,Science,Basic,1,27
TCH0463,SCH053,English,Advanced,14,8
TCH0464,SCH268,Social Studies,Advanced,11,28
TCH0465,SCH226,Math,Advanced,16,9
TCH0466,SCH416,English,Basic,10,28
TCH0467,SCH088,English,Basic,1,27
TCH0468,SCH254,Science,Advanced,1,9
TCH0469,SCH174,English,Basic,10,11
TCH0470,SCH276,Math,Advanced,11,11
TCH0471,SCH470,Math,Basic,5,27
TCH0472,SCH168,Nepali,Basic,10,25
TCH0473,SCH226,Nepali,Advanced,9,9
TCH0474,SCH183,Math,Basic,11,8
TCH0475,SCH349,Social Studies,Basic,7,26
TCH0476,SCH217,English,Basic,8,20
TCH0477,SCH323,Math,Advanced,10,10
TCH0478,SCH307,Science,Advanced,9,10
TCH0479,SCH183,Science,Basic,8,10
TCH0480,SCH461,Science,Advanced,16,9
TCH0481,SCH479,Math,Basic,14,12
TCH0482,SCH101,Social Studies,Basic,11,11
TCH0483,SCH022,Science,Basic,5,26
TCH0484,SCH187,Science,Basic,6,17
TCH0485,SCH187,Math,Advanced,15,23
TCH0486,SCH180,Social Studies,Basic,10,24
TCH0487,SCH149,Science,Advanced,5,12
TCH0488,SCH135,Nepali,Basic,15,8
TCH0489,SCH149,Social Studies,Basic,16,13
TCH0490,SCH241,Social Studies,Advanced,13,11
TCH0491,SCH111,English,Advanced,20,8
TCH0492,SCH296,Nepali,Basic,15,8
TCH0493,SCH414,Social Studies,Advanced,11,8
TCH0494,SCH312,Science,Basic,9,8
TCH0495,SCH301,Nepali,Basic,6,8
TCH0496,SCH266,English,Basic,1,23
TCH0497,SCH158,Science,Basic,1,22
TCH0498,SCH473,Math,Advanced,6,8
TCH0499,SCH234,Nepali,Advanced,13,10
TCH0500,SCH094,Science,Basic,9,25
TCH0501,SCH283,Nepali,Basic,15,9
TCH0502,SCH442,Social Studies,Basic,15,19
TCH0503,SCH116,Science,Basic,1,16
TCH0504,SCH285,Social Studies,Basic,1,23
TCH0505,SCH408,Science,Basic,10,11
TCH0506,SCH194,Nepali,Advanced,10,13
TCH0507,SCH454,Social Studies,Basic,9,27
TCH0508,SCH018,Math,Basic,12,23
TCH0509,SCH155,English,Basic,22,10
TCH0510,SCH118,Math,Basic,21,12
TCH0511,SCH311,English,Basic,10,23
TCH0512,SCH331,English,Advanced,11,10
TCH0513,SCH111,English,Advanced,5,8
TCH0514,SCH146,Science,Advanced,6,23
TCH0515,SCH051,Math,Basic,10,30
TCH0516,SCH260,Math,Advanced,11,8
TCH0517,SCH197,Social Studies,Advanced,12,10
TCH0518,SCH317,Social Studies,Basic,10,8
TCH0519,SCH038,Nepali,Advanced,17,28
TCH0520,SCH248,Nepali,Advanced,15,8
TCH0521,SCH175,Social Studies,Advanced,1,18
TCH0522,SCH151,Science,Basic,6,29
TCH0523,SCH498,English,Advanced,7,23
TCH0524,SCH110,Math,Basic,1,26
TCH0525,SCH014,Social Studies,Basic,9,12
TCH0526,SCH035,Science,Advanced,7,9
TCH0527,SCH331,Nepali,Basic,8,9
TCH0528,SCH232,Math,Basic,11,20
TCH0529,SCH376,Social Studies,Advanced,10,9
TCH0530,SCH414,Science,Basic,15,9
TCH0531,SCH477,Science,Basic,18,8
TCH0532,SCH309,Math,Basic,14,9
TCH0533,SCH073,Science,Basic,12,20
TCH0534,SCH148,Math,Advanced,16,30
TCH0535,SCH460,English,Advanced,9,10
TCH0536,SCH330,English,Basic,2,27
TCH0537,SCH367,Social Studies,Advanced,6,10
TCH0538,SCH082,English,Basic,2,29
TCH0539,SCH328,English,Basic,15,13
TCH0540,SCH456,Social Studies,Basic,13,8
TCH0541,SCH318,Nepali,Advanced,13,15
TCH0542,SCH275,Social Studies,Basic,10,10
TCH0543,SCH068,English,Basic,11,19
TCH0544,SCH341,Nepali,Basic,9,27
TCH0545,SCH291,English,Advanced,16,9
TCH0546,SCH018,English,Basic,3,22
TCH0547,SCH021,Science,Advanced,6,25
TCH0548,SCH094,Social Studies,Basic,1,29
TCH0549,SCH027,English,Basic,17,14
TCH0550,SCH120,Science,Advanced,13,9
TCH0551,SCH287,Science,Advanced,1,18
TCH0552,SCH121,Nepali,Basic,2,19
TCH0553,SCH331,Social Studies,Basic,9,8
TCH0554,SCH159,Nepali,Advanced,13,27
TCH0555,SCH122,Social Studies,Advanced,11,18
TCH0556,SCH314,Math,Basic,12,8
TCH0557,SCH434,Social Studies,Basic,10,22
TCH0558,SCH462,Social Studies,Basic,1,23
TCH0559,SCH489,Science,Basic,4,27
TCH0560,SCH325,English,Basic,8,10
TCH0561,SCH306,English,Basic,6,8
TCH0562,SCH305,Social Studies,Basic,2,23
TCH0563,SCH491,Social Studies,Advanced,10,26
TCH0564,SCH072,Nepali,Advanced,19,8
TCH0565,SCH165,Science,Basic,7,22
TCH0566,SCH426,Nepali,Basic,8,25
TCH0567,SCH152,English,Advanced,3,26
TCH0568,SCH155,Nepali,Advanced,11,12
TCH0569,SCH089,Science,Basic,3,8
TCH0570,SCH261,Science,Basic,14,25
TCH0571,SCH028,Nepali,Basic,3,24
TCH0572,SCH122,Social Studies,Basic,1,27
TCH0573,SCH167,Social Studies,Basic,6,10
TCH0574,SCH088,English,Basic,8,23
TCH0575,SCH011,Science,Basic,1,23
TCH0576,SCH197,Social Studies,Advanced,1,13
TCH0577,SCH102,English,Advanced,6,21
TCH0578,SCH145,Nepali,Advanced,1,11
TCH0579,SCH206,Science,Basic,10,24
TCH0580,SCH238,Nepali,Basic,7,21
TCH0581,SCH096,Social Studies,Advanced,4,29
TCH0582,SCH020,English,Advanced,6,26
TCH0583,SCH074,Nepali,Advanced,6,24
TCH0584,SCH251,Social Studies,Advanced,18,30
TCH0585,SCH406,Math,Advanced,16,9
TCH0586,SCH170,Math,Basic,11,17
TCH0587,SCH273,Social Studies,Basic,7,21
TCH0588,SCH111,English,Advanced,16,11
TCH0589,SCH049,Social Studies,Advanced,18,9
TCH0590,SCH482,Science,Basic,7,27
TCH0591,SCH181,Science,Basic,19,8
TCH0592,SCH255,Science,Advanced,11,8
TCH0593,SCH064,Math,Advanced,12,22
TCH0594,SCH100,Math,Basic,10,19
TCH0595,SCH147,Math,Basic,7,22
TCH0596,SCH173,Math,Advanced,7,11
TCH0597,SCH465,Social Studies,Basic,3,29
